UniProtKB,Symbol,Virus_mimicry,GTEx_medium_TPM_in_lung,Distinct_SLiMs,Biological_process,Molecular_function
Q9C0J8,WDR33,Envelope,18.05,1,mRNA polyadenylation [GO:0006378]; postreplication repair [GO:0006301]; spermatogenesis [GO:0007283],RNA binding [GO:0003723]
Q9NYF8,BCLAF1,Envelope,43.88,1,"apoptotic process [GO:0006915]; negative regulation of transcription, DNA-templated [GO:0045892]; positive regulation of apoptotic process [GO:0043065]; positive regulation of DNA-templated transcription, initiation [GO:2000144]; positive regulation of intrinsic apoptotic signaling pathway [GO:2001244]; positive regulation of response to DNA damage stimulus [GO:2001022]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of DNA-templated transcription in response to stress [GO:0043620]",DNA binding [GO:0003677]; RNA binding [GO:0003723]; transcription coregulator activity [GO:0003712]
Q13523,PRPF4B,Envelope,41.52,1,"mRNA cis splicing, via spliceosome [GO:0045292]; mRNA splicing, via spliceosome [GO:0000398]; protein phosphorylation [GO:0006468]; RNA splicing [GO:0008380]",ATP binding [GO:0005524]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]; RNA binding [GO:0003723]
P38159,RBMX,Envelope,78.05,1,"cellular response to interleukin-1 [GO:0071347]; membrane protein ectodomain proteolysis [GO:0006509]; mRNA splicing, via spliceosome [GO:0000398]; negative regulation of mRNA splicing, via spliceosome [GO:0048025]; osteoblast differentiation [GO:0001649]; positive regulation of mRNA splicing, via spliceosome [GO:0048026]; positive regulation of transcription by RNA polymerase II [GO:0045944]; protein homooligomerization [GO:0051260]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; transcription by RNA polymerase II [GO:0006366]",chromatin binding [GO:0003682]; identical protein binding [GO:0042802]; mRNA binding [GO:0003729]; protein domain specific binding [GO:0019904]; RNA binding [GO:0003723]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]
Q96E39,RBMXL1,Envelope,11.93,1,"mRNA splice site selection [GO:0006376]; positive regulation of mRNA splicing, via spliceosome [GO:0048026]; positive regulation of transcription, DNA-templated [GO:0045893]",single-stranded RNA binding [GO:0003727]
P10636,MAPT,ORF7a,1.27,1,activation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0006919]; amyloid fibril formation [GO:1990000]; astrocyte activation [GO:0048143]; axonal transport [GO:0098930]; axonal transport of mitochondrion [GO:0019896]; axon development [GO:0061564]; cell-cell signaling [GO:0007267]; cellular response to brain-derived neurotrophic factor stimulus [GO:1990416]; cellular response to heat [GO:0034605]; cellular response to nerve growth factor stimulus [GO:1990090]; cellular response to reactive oxygen species [GO:0034614]; central nervous system neuron development [GO:0021954]; cytoplasmic microtubule organization [GO:0031122]; generation of neurons [GO:0048699]; internal protein amino acid acetylation [GO:0006475]; intracellular distribution of mitochondria [GO:0048312]; learning or memory [GO:0007611]; memory [GO:0007613]; microglial cell activation [GO:0001774]; microtubule cytoskeleton organization [GO:0000226]; microtubule polymerization [GO:0046785]; negative regulation of establishment of protein localization to mitochondrion [GO:1903748]; negative regulation of gene expression [GO:0010629]; negative regulation of kinase activity [GO:0033673]; negative regulation of mitochondrial fission [GO:0090258]; negative regulation of mitochondrial membrane potential [GO:0010917]; negative regulation of tubulin deacetylation [GO:1904428]; neurofibrillary tangle assembly [GO:1902988]; neuron projection development [GO:0031175]; plus-end-directed organelle transport along microtubule [GO:0072386]; positive regulation of axon extension [GO:0045773]; positive regulation of cellular protein localization [GO:1903829]; positive regulation of diacylglycerol kinase activity [GO:1905689]; positive regulation of microtubule polymerization [GO:0031116]; positive regulation of neuron death [GO:1901216]; positive regulation of protein localization to synapse [GO:1902474]; positive regulation of superoxide anion generation [GO:0032930]; protein homooligomerization [GO:0051260]; protein polymerization [GO:0051258]; regulation of autophagy [GO:0010506]; regulation of calcium-mediated signaling [GO:0050848]; regulation of cellular response to heat [GO:1900034]; regulation of chromosome organization [GO:0033044]; regulation of long-term synaptic depression [GO:1900452]; regulation of microtubule cytoskeleton organization [GO:0070507]; regulation of microtubule polymerization [GO:0031113]; regulation of microtubule polymerization or depolymerization [GO:0031110]; regulation of mitochondrial fission [GO:0090140]; regulation of response to DNA damage stimulus [GO:2001020]; regulation of synaptic plasticity [GO:0048167]; response to lead ion [GO:0010288]; rRNA metabolic process [GO:0016072]; stress granule assembly [GO:0034063]; supramolecular fiber organization [GO:0097435]; synapse assembly [GO:0007416]; synapse organization [GO:0050808],actin binding [GO:0003779]; apolipoprotein binding [GO:0034185]; chaperone binding [GO:0051087]; DNA binding [GO:0003677]; double-stranded DNA binding [GO:0003690]; dynactin binding [GO:0034452]; enzyme binding [GO:0019899]; histone-dependent DNA binding [GO:0099077]; Hsp90 protein binding [GO:0051879]; identical protein binding [GO:0042802]; lipoprotein particle binding [GO:0071813]; microtubule binding [GO:0008017]; microtubule lateral binding [GO:0099609]; minor groove of adenine-thymine-rich DNA binding [GO:0003680]; phosphatidylinositol binding [GO:0035091]; phosphatidylinositol bisphosphate binding [GO:1902936]; protein kinase binding [GO:0019901]; protein-macromolecule adaptor activity [GO:0030674]; protein phosphatase 2A binding [GO:0051721]; RNA binding [GO:0003723]; sequence-specific DNA binding [GO:0043565]; SH3 domain binding [GO:0017124]; single-stranded DNA binding [GO:0003697]
Q12873,CHD3,ORF7a,68.23,1,"ATP-dependent chromatin remodeling [GO:0043044]; centrosome cycle [GO:0007098]; chromatin assembly or disassembly [GO:0006333]; negative regulation of transcription by RNA polymerase II [GO:0000122]; regulation of transcription, DNA-templated [GO:0006355]; regulation of transcription by RNA polymerase II [GO:0006357]; spindle organization [GO:0007051]",ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0140603]; DNA binding [GO:0003677]; DNA helicase activity [GO:0003678]; double-stranded DNA helicase activity [GO:0036121]; helicase activity [GO:0004386]; nucleosome-dependent ATPase activity [GO:0070615]; RNA binding [GO:0003723]; transcription cis-regulatory region binding [GO:0000976]; zinc ion binding [GO:0008270]
P49840,GSK3A,ORF7a,43.09,1,"aging [GO:0007568]; cardiac left ventricle morphogenesis [GO:0003214]; cell migration [GO:0016477]; cellular response to insulin stimulus [GO:0032869]; cellular response to interleukin-3 [GO:0036016]; cellular response to lithium ion [GO:0071285]; dopamine receptor signaling pathway [GO:0007212]; excitatory postsynaptic potential [GO:0060079]; extrinsic apoptotic signaling pathway [GO:0097191]; extrinsic apoptotic signaling pathway in absence of ligand [GO:0097192]; glycogen metabolic process [GO:0005977]; hypermethylation of CpG island [GO:0044027]; insulin receptor signaling pathway [GO:0008286]; negative regulation of canonical Wnt signaling pathway [GO:0090090]; negative regulation of cell growth involved in cardiac muscle cell development [GO:0061052]; negative regulation of dendrite development [GO:2000171]; negative regulation of glucose import [GO:0046325]; negative regulation of glycogen (starch) synthase activity [GO:2000466]; negative regulation of glycogen biosynthetic process [GO:0045719]; negative regulation of glycogen synthase activity, transferring glucose-1-phosphate [GO:1904227]; negative regulation of insulin receptor signaling pathway [GO:0046627]; negative regulation of TOR signaling [GO:0032007]; negative regulation of type B pancreatic cell development [GO:2000077]; negative regulation of UDP-glucose catabolic process [GO:0010905]; nervous system development [GO:0007399]; peptidyl-serine phosphorylation [GO:0018105]; peptidyl-threonine phosphorylation [GO:0018107]; positive regulation of adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071879]; positive regulation of adenylate cyclase-activating G protein-coupled receptor signaling pathway [GO:0106071]; positive regulation of amyloid-beta formation [GO:1902004]; positive regulation of autophagy [GO:0010508]; positive regulation of gene expression [GO:0010628]; positive regulation of glycogen (starch) synthase activity [GO:2000467]; positive regulation of heart contraction [GO:0045823]; positive regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway [GO:1901030]; positive regulation of neuron apoptotic process [GO:0043525]; positive regulation of peptidyl-serine phosphorylation [GO:0033138]; positive regulation of peptidyl-threonine phosphorylation [GO:0010800]; positive regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032436]; positive regulation of protein catabolic process [GO:0045732]; positive regulation of protein targeting to mitochondrion [GO:1903955]; positive regulation of protein ubiquitination [GO:0031398]; positive regulation of transcription by RNA polymerase II [GO:0045944]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein phosphorylation [GO:0006468]; regulation of autophagy of mitochondrion [GO:1903146]; regulation of gene expression by genetic imprinting [GO:0006349]; regulation of neuron projection development [GO:0010975]; regulation of systemic arterial blood pressure [GO:0003073]; signal transduction [GO:0007165]; Wnt signaling pathway [GO:0016055]",ATP binding [GO:0005524]; protein kinase A catalytic subunit binding [GO:0034236]; protein serine/threonine kinase activity [GO:0004674]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]; signaling receptor binding [GO:0005102]; tau protein binding [GO:0048156]; tau-protein kinase activity [GO:0050321]
Q14103,HNRNPD,ORF7a,135.40,1,"3'-UTR-mediated mRNA destabilization [GO:0061158]; cellular response to amino acid stimulus [GO:0071230]; cellular response to estradiol stimulus [GO:0071392]; cellular response to nitric oxide [GO:0071732]; cellular response to putrescine [GO:1904586]; cerebellum development [GO:0021549]; circadian regulation of translation [GO:0097167]; hepatocyte dedifferentiation [GO:1990828]; liver development [GO:0001889]; mRNA stabilization [GO:0048255]; mRNA transcription by RNA polymerase II [GO:0042789]; positive regulation of telomerase RNA reverse transcriptase activity [GO:1905663]; positive regulation of telomere capping [GO:1904355]; positive regulation of transcription, DNA-templated [GO:0045893]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of translation [GO:0045727]; regulation of circadian rhythm [GO:0042752]; regulation of gene expression [GO:0010468]; regulation of telomere maintenance [GO:0032204]; regulation of transcription, DNA-templated [GO:0006355]; response to calcium ion [GO:0051592]; response to electrical stimulus [GO:0051602]; response to rapamycin [GO:1901355]; response to sodium phosphate [GO:1904383]; RNA catabolic process [GO:0006401]; RNA processing [GO:0006396]",chromatin binding [GO:0003682]; histone deacetylase binding [GO:0042826]; minor groove of adenine-thymine-rich DNA binding [GO:0003680]; mRNA 3'-UTR AU-rich region binding [GO:0035925]; RNA binding [GO:0003723]; telomeric DNA binding [GO:0042162]
P55072,VCP,ORF7a,165.60,1,"activation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0006919]; aggresome assembly [GO:0070842]; ATP metabolic process [GO:0046034]; autophagosome maturation [GO:0097352]; autophagy [GO:0006914]; cellular response to arsenite ion [GO:1903843]; cellular response to DNA damage stimulus [GO:0006974]; cellular response to heat [GO:0034605]; DNA repair [GO:0006281]; double-strand break repair [GO:0006302]; endoplasmic reticulum stress-induced pre-emptive quality control [GO:0061857]; endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; endoplasmic reticulum unfolded protein response [GO:0030968]; endosome to lysosome transport via multivesicular body sorting pathway [GO:0032510]; ERAD pathway [GO:0036503]; ER-associated misfolded protein catabolic process [GO:0071712]; establishment of protein localization [GO:0045184]; flavin adenine dinucleotide catabolic process [GO:0072389]; interstrand cross-link repair [GO:0036297]; macroautophagy [GO:0016236]; mitotic spindle disassembly [GO:0051228]; NADH metabolic process [GO:0006734]; negative regulation of smoothened signaling pathway [GO:0045879]; positive regulation of ATP biosynthetic process [GO:2001171]; positive regulation of canonical Wnt signaling pathway [GO:0090263]; positive regulation of Lys63-specific deubiquitinase activity [GO:1903007]; positive regulation of mitochondrial membrane potential [GO:0010918]; positive regulation of oxidative phosphorylation [GO:1903862]; positive regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032436]; positive regulation of protein catabolic process [GO:0045732]; positive regulation of protein-containing complex assembly [GO:0031334]; positive regulation of protein K63-linked deubiquitination [GO:1903006]; proteasomal protein catabolic process [GO:0010498]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein-DNA covalent cross-linking repair [GO:0106300]; protein ubiquitination [GO:0016567]; regulation of aerobic respiration [GO:1903715]; regulation of apoptotic process [GO:0042981]; regulation of protein localization to chromatin [GO:1905634]; regulation of synapse organization [GO:0050807]; retrograde protein transport, ER to cytosol [GO:0030970]; stress granule disassembly [GO:0035617]; translesion synthesis [GO:0019985]; ubiquitin-dependent ERAD pathway [GO:0030433]; viral genome replication [GO:0019079]",ADP binding [GO:0043531]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0140603]; BAT3 complex binding [GO:1904288]; deubiquitinase activator activity [GO:0035800]; identical protein binding [GO:0042802]; K48-linked polyubiquitin modification-dependent protein binding [GO:0036435]; lipid binding [GO:0008289]; MHC class I protein binding [GO:0042288]; polyubiquitin modification-dependent protein binding [GO:0031593]; protein domain specific binding [GO:0019904]; protein phosphatase binding [GO:0019903]; RNA binding [GO:0003723]; ubiquitin-like protein ligase binding [GO:0044389]; ubiquitin protein ligase binding [GO:0031625]; ubiquitin-specific protease binding [GO:1990381]
